ianlèRjèum	[ianlɛʁʒɛym]
ol	[ol]
flèofriol	[flɛofχiol]
kséon	[kseon]
vènsaètaèl	[vɛnsaɛtaɛl]
anknèsésèpufév	[ɑ̃knɛsesɛpyfev]
jRéunRisat	[ʒʁeynʁisat]
jibuRvailsidludmosfètak	[ʒibyʁvailsidlydmosfɛtak]
jèontuk	[ʒɛontyk]
éèpiènlaèvaitpèatlatalnak	[eɛpiɛnlaɛvaitpɛatlatalnak]
ad	[ad]
annsèam	[ɑ̃nsɛam]
ousidiol	[usidiol]
alriaR	[alχiaʁ]
Rvinoudén	[ʁvinuden]
jRunsivul	[ʒʁynsivyl]
véaRilovRudanlos	[veaʁilovʁydanlos]
daR	[daʁ]
mtalèvoR	[mtalɛvoʁ]
ojèm	[oʒɛm]
ulmos	[ylmos]
ounfupèununvukèsléR	[unfypɛynynvykɛsleʁ]
boch	[boʃ]
znoujan	[znuʒan]
uznanlitudinlèz	[yznɑ̃litydinlɛz]
ous	[us]
zèl	[zɛl]
iovlusnuRalos	[iovlysnyʁalos]
plèmudvétposéoRéoulgaèlRalèch	[plɛmydvetposeoʁeulgaɛlʁalɛʃ]
chkan	[ʃkan]
ans	[ɑ̃s]
béèdus	[beɛdys]
bnèonlèiréondèRof	[bnɛonlɛiχeondɛʁof]
knénbiaRlèR	[knenbiaʁlɛʁ]
rnèolsuchsètoulès	[χnɛolsyʃsɛtulɛs]
zgonrulaRvéalfén	[zgonχylaʁvealfen]
fèuvmoftèvun	[fɛyvmoftɛvyn]
chkèun	[ʃkɛyn]
zèoltonRèn	[zɛoltonʁɛn]
jignulzilinadgusliun	[ʒignylzilinadgysliyn]
sanèéchsatèanaRèivliaRolsaéféis	[sanɛeʃsatɛanaʁɛivliaʁolsaefeis]
èogèim	[ɛogɛim]
alanvéog	[alanveog]
sifnarèlachnazasèuvan	[sifnaχɛlaʃnazasɛyvan]
chèrlètèRlaingaitlioutékofnaéskèl	[ʃɛχlɛtɛʁlaingaitliutekofnaeskɛl]
iunant	[iynɑ̃t]
rnès	[χnɛs]
blèt	[blɛt]
utanus	[ytanys]
lnéom	[lneom]
fèolnèugbur	[fɛolnɛygbyχ]
rnièvnolvut	[χniɛvnolvyt]
lugorlavnanètmèmlaifparlèélém	[lygoχlavnanɛtmɛmlaifpaχlɛelem]
bivèzlèmzéit	[bivɛzlɛmzeit]
anètavRainramfadlabèr	[ɑ̃ɛtavʁainχamfadlabɛχ]
èlnèm	[ɛlnɛm]
èpnégonièvèovil	[ɛpnegoniɛvɛovil]
avèmlèotsilvuR	[avɛmlɛotsilvyʁ]
tènfaRosiékalfonas	[tɛnfaʁosiekalfonas]
govlèuvnèachtor	[govlɛyvnɛaʃtoχ]
umvèalos	[ymvɛalos]
pinmézominfulbuljolnèévmutèntavmèos	[pinmezominfylbylʒolnɛevmytɛntavmɛos]
zjagnaichtèf	[zʒagnaiʃtɛf]
kètiv	[kɛtiv]
zvaèlublaslunosuRlojoRutènuRnodRiRornoflèoun	[zvaɛlyblaslynosyʁloʒoʁytɛnyʁnodʁiʁoχnoflɛun]
èsopogRèanlèlnadanran	[ɛsopogʁɛɑ̃lɛlnadanχan]
chèl	[ʃɛl]
nasnèotfèotèétudmapisapumRunanolsamiènilmupudatuznavlivRanonvial	[nasnɛotfɛotɛetydmapisapymʁynanolsamiɛnilmypydatyznavlivʁanonvial]
aènivèujdidoumnièt	[aɛnivɛyʒdidumniɛt]
gnavonèaR	[gnavonɛaʁ]
ousmièzlèbèm	[usmiɛzlɛbɛm]
onlangènèn	[onlangɛnɛn]
èmumir	[ɛmymiχ]
aivonélnèvniatochodonsof	[aivonelnɛvniatoʃodonsof]
Rén	[ʁen]
RèRovjotumrèitèz	[ʁɛʁovʒotymχɛitɛz]
prèavuRlanèznièn	[pχɛavyʁlanɛzniɛn]
oudètèlos	[udɛtɛlos]
oun	[un]
oufam	[ufam]
ospèzRèiz	[ospɛzʁɛiz]
èésoutorugéachrot	[ɛesutoχygeaʃχot]
ungèodaRatèotal	[yngɛodaʁatɛotal]
lnèagonvièRobnovlèiklèn	[lnɛagonviɛʁobnovlɛiklɛn]
pitlétun	[pitletyn]
lisin	[lisin]
anènkalsaérsouzan	[ɑ̃ɛnkalsaeχsuzan]
fiétèzaduschanfaèraméèv	[fietɛzadysʃɑ̃faɛχameɛv]
ziantaèm	[ziantaɛm]
ènasnéèlanm	[ɛnasneɛlɑ̃m]
rlènaspidènzinkiadim	[χlɛnaspidɛnzinkiadim]
buR	[byʁ]
gnurséz	[gnyχsez]
èzéatsaniulus	[ɛzeatsaniylys]
mjof	[mʒof]
Ral	[ʁal]
annmès	[ɑ̃nmɛs]
oufméndéifkétchod	[ufmendeifketʃod]
ptorobgujélnèoR	[ptoχobgyʒelnɛoʁ]
uvichlèak	[yviʃlɛak]
rnèn	[χnɛn]
kèamtèonfièR	[kɛamtɛonfiɛʁ]
knèn	[knɛn]
éèchèfomaèch	[eɛʃɛfomaɛʃ]
anèkaf	[ɑ̃ɛkaf]
ziènér	[ziɛneχ]
tonochnimèpunan	[tonoʃnimɛpynan]
ziloRègnaf	[ziloʁɛgnaf]
ubinRèRèéfmigéaRbanètméèvlosuchèl	[ybinʁɛʁɛefmigeaʁbɑ̃ɛtmeɛvlosyʃɛl]
jdèozlèovRozdasnèsuchpèf	[ʒdɛozlɛovʁozdasnɛsyʃpɛf]
uskèrmit	[yskɛχmit]
buv	[byv]
émlokpous	[emlokpus]
vèRvotkèRèajlovuléuriamèovèm	[vɛʁvotkɛʁɛaʒlovyleyχiamɛovɛm]
til	[til]
kialnènom	[kialnɛnom]
vèan	[vɛan]
knéilsismèlnotléon	[kneilsismɛlnotleon]
RviRnènaRajnèz	[ʁviʁnɛnaʁaʒnɛz]
tèol	[tɛol]
dgulètangèn	[dgylɛtangɛn]
lRaltonkèjvifloRnup	[lʁaltonkɛʒvifloʁnyp]
jasaèdèvnidènèénavéumèrosmutopulRilènaflom	[ʒasaɛdɛvnidɛnɛenaveymɛχosmytopylʁilɛnaflom]
pich	[piʃ]
islélmonètfounsichsir	[islelmonɛtfunsiʃsiχ]
ukan	[ykan]
itlongar	[itlongaχ]
ifléunatovnéuvèt	[ifleynatovneyvɛt]
ochèt	[oʃɛt]
ion	[ion]
ochsiègorponalnin	[oʃsiɛgoχponalnin]
géRèvnounlunurnaip	[geʁɛvnunlynyχnaip]
énmuréanch	[enmyχeɑ̃ʃ]
Randlon	[ʁɑ̃dlon]
ovodèolustanèén	[ovodɛolystanɛen]
lnunèpèovidénèn	[lnynɛpɛovidenɛn]
èmfèfoslèglènazjoslèis	[ɛmfɛfoslɛglɛnazʒoslɛis]
unodjèn	[ynodʒɛn]
zRèl	[zʁɛl]
bnoRluslonvovon	[bnoʁlyslonvovon]
rodRiopasaRèornouzvèrèulbov	[χodʁiopasaʁɛoχnuzvɛχɛylbov]
adavnèochmèn	[adavnɛoʃmɛn]
dèél	[dɛel]
imisèachtuk	[imisɛaʃtyk]
sènèad	[sɛnɛad]
Rgadon	[ʁgadon]
èij	[ɛiʒ]
aij	[aiʒ]
ftèlréènrètkaèsèiv	[ftɛlχeɛnχɛtkaɛsɛiv]
anRdovas	[ɑ̃ʁdovas]
in	[in]
ouvaR	[uvaʁ]
ufraégèfnachailnènlotognèurivaRongolol	[yfχaegɛfnaʃailnɛnlotognɛyχivaʁongolol]
néovRaèpanomom	[neovʁaɛpanomom]
éRèosanogèj	[eʁɛosanogɛʒ]
oliotèoRanl	[oliotɛoʁɑ̃l]
éidéoRnanièntaslun	[eideoʁnaniɛntaslyn]
jgalun	[ʒgalyn]
znulnèotaitèonol	[znylnɛotaitɛonol]
dondèanèvaétlaés	[dondɛanɛvaetlaes]
duvoRloRvudèalutaj	[dyvoʁloʁvydɛalytaʒ]
uplèdévlaénivèuplèlètèlol	[yplɛdevlaenivɛyplɛlɛtɛlol]
jèsèilopkèéglul	[ʒɛsɛilopkɛeglyl]
onfuspaènèlozvèch	[onfyspaɛnɛlozvɛʃ]
anès	[ɑ̃ɛs]
oslétézojandlèlsiuRmop	[osletezoʒɑ̃dlɛlsiyʁmop]
vniRanrugèfsuRèlnèus	[vniʁɑ̃χygɛfsyʁɛlnɛys]
ochlèoslèiRodotsalaèjèudRunèilvadlanas	[oʃlɛoslɛiʁodotsalaɛʒɛydʁynɛilvadlanas]
kéavanvèat	[keavanvɛat]
sluf	[slyf]
tokandlulèézlidoruskèl	[tokɑ̃dlylɛezlidoχyskɛl]
gépal	[gepal]
iaRisaèdialaèn	[iaʁisaɛdialaɛn]
Rgor	[ʁgoχ]
psiènlifidRutrèlvuprus	[psiɛnlifidʁytχɛlvypχys]
lnonèdRisunéréèk	[lnonɛdʁisyneχeɛk]
onorètaèmiout	[onoχɛtaɛmiut]
if	[if]
mdèum	[mdɛym]
ouvRuRgèRmolaènlatol	[uvʁyʁgɛʁmolaɛnlatol]
ral	[χal]
anvèRaèsuRas	[ɑ̃vɛʁaɛsyʁas]
ouRèjlid	[uʁɛʒlid]
chsostas	[ʃsostas]
blas	[blas]
jzalazid	[ʒzalazid]
èovlièmnosnèf	[ɛovliɛmnosnɛf]
inèR	[inɛʁ]
ounèkovnéètfunRinzèbavdubèsukminRèlaèn	[unɛkovneɛtfynʁinzɛbavdybɛsykminʁɛlaɛn]
ouviodaR	[uviodaʁ]
amlotchud	[amlotʃyd]
énaltuzèudRéènèduvlutanfiamak	[enaltyzɛydʁeɛnɛdyvlytanfiamak]
avgèsnéivluknéèch	[avgɛsneivlykneɛʃ]
usnab	[ysnab]
bzavasichèanosènkaèmrulvèiv	[bzavasiʃɛanosɛnkaɛmχylvɛiv]
usèRaélik	[ysɛʁaelik]
krènsèdéslaénalèoulnèmétonid	[kχɛnsɛdeslaenalɛulnɛmetonid]
nvuzannsènun	[nvyzɑ̃nsɛnyn]
ud	[yd]
mèzdolèanlèénisfaèlsusiblèlètètidièRanlég	[mɛzdolɛɑ̃lɛenisfaɛlsysiblɛlɛtɛtidiɛʁanleg]
bgum	[bgym]
séès	[seɛs]
anét	[ɑ̃et]
annuvodichèlèd	[ɑ̃nyvodiʃɛlɛd]
fasmiénèlunvut	[fasmienɛlynvyt]
unRolchéud	[ynʁolʃeyd]
krèijivoumlumalRèan	[kχɛiʒivumlymalʁɛan]
ésap	[esap]
anèdas	[ɑ̃ɛdas]
ot	[ot]
laitlèuRat	[laitlɛyʁat]
séf	[sef]
dal	[dal]
ètajoRléiRan	[ɛtaʒoʁleiʁan]
rut	[χyt]
uRèuRantaRèartivumochniltètaètaRémèdlut	[yʁɛyʁantaʁɛaχtivymoʃniltɛtaɛtaʁemɛdlyt]
osavosavdèchmaRnéd	[osavosavdɛʃmaʁned]
chulannèRalvainvès	[ʃylɑ̃nɛʁalvainvɛs]
rnodRosnaélRéRèon	[χnodʁosnaelʁeʁɛon]
paRmèaRub	[paʁmɛaʁyb]
tunènéin	[tynɛnein]
bnènoutlanlatudRékotèl	[bnɛnutlanlatydʁekotɛl]
dladainsim	[dladainsim]
gèamaèt	[gɛamaɛt]
gèlèn	[gɛlɛn]
psavnèdRud	[psavnɛdʁyd]
pogaral	[pogaχal]
RnéavimjolsiaRzor	[ʁneavimʒolsiaʁzoχ]
nRèsmèfutioRnaibvundiRotmaèn	[nʁɛsmɛfytioʁnaibvyndiʁotmaɛn]
jnéchnèmounèRiumlaRin	[ʒneʃnɛmunɛʁiymlaʁin]
chnaékian	[ʃnaekian]
tminziusivjugèRodanR	[tminziysivʒygɛʁodɑ̃ʁ]
nmaduRlén	[nmadyʁlen]
jvanRèvitsijag	[ʒvanʁɛvitsiʒag]
échkaèt	[eʃkaɛt]
mèljabiéRnusièdvèl	[mɛlʒabieʁnysiɛdvɛl]
vaiRouvlaktizvéanaèr	[vaiʁuvlaktizveanaɛχ]
jaèdèdivnoRnènaémsolnon	[ʒaɛdɛdivnoʁnɛnaemsolnon]
téchinaant	[teʃinaɑ̃t]
és	[es]
odunmamdavnèf	[odynmamdavnɛf]
pèdvouj	[pɛdvuʒ]
éif	[eif]
psédavdunrajigukéagèotiudanv	[psedavdynχaʒigykeagɛotiydɑ̃v]
èlajènsiagufnotodak	[ɛlaʒɛnsiagyfnotodak]
pèchmaitsotkuf	[pɛʃmaitsotkyf]
éannis	[eɑ̃nis]
un	[yn]
kad	[kad]
chèlèjuRoutanafuzniann	[ʃɛlɛʒyʁutɑ̃afyzniɑ̃n]
mjoR	[mʒoʁ]
zlèibouRiR	[zlɛibuʁiʁ]
ios	[ios]
man	[man]
vmèutléarèvétout	[vmɛytleaχɛvetut]
lèoduknèukionfèl	[lɛodyknɛykionfɛl]
niandèén	[niɑ̃dɛen]
ovudvèvbièm	[ovydvɛvbiɛm]
mugnalèévnavnèvoul	[mygnalɛevnavnɛvul]
RièmvuRvunvèvainaruRèksonludzafujas	[ʁiɛmvyʁvynvɛvainaχyʁɛksonlydzafyʒas]
nduvataituzgovgiditén	[ndyvataityzgovgiditen]
glorlousèotlèfotavdochutèannvolsosaR	[gloχlusɛotlɛfotavdoʃytɛɑ̃nvolsosaʁ]
véiRnilozavRaijavnunlon	[veiʁnilozavʁaiʒavnynlon]
chnèp	[ʃnɛp]
aétèsiètséachnialfémakèuskalvovèn	[aetɛsiɛtseaʃnialfemakɛyskalvovɛn]
pozdazovnif	[pozdazovnif]
èpètarpoulnisontarlasam	[ɛpɛtaχpulnisontaχlasam]
zlèéngèuglok	[zlɛengɛyglok]
funèulRèv	[fynɛylʁɛv]
ouvarumlosruvjèvomotronlovémimlamozgisitus	[uvaχymlosχyvʒɛvomotχonlovemimlamozgisitys]
trunRajudlilèanèr	[tχynʁaʒydlilɛanɛχ]
andèichnanéavagèichmèl	[ɑ̃dɛiʃnaneavagɛiʃmɛl]
anvéudil	[anveydil]
rliRvuch	[χliʁvyʃ]
od	[od]
rniab	[χniab]
sniftoch	[sniftoʃ]
éulopsolzirnaèdoR	[eylopsolziχnaɛdoʁ]
vil	[vil]
RèbnèRurain	[ʁɛbnɛʁyχain]
jlanèmonun	[ʒlɑ̃ɛmonyn]
zaèvèichsor	[zaɛvɛiʃsoχ]
Rèlgaétsoplum	[ʁɛlgaetsoplym]
tésalaf	[tesalaf]
stèr	[stɛχ]
nvulvinènlèouzvorukpulnèultivènpotal	[nvylvinɛnlɛuzvoχykpylnɛyltivɛnpotal]
tmiéd	[tmied]
zamèikaimnèisastos	[zamɛikaimnɛisastos]
Rapfimaès	[ʁapfimaɛs]
rèsantèunféoptanvéch	[χɛsɑ̃tɛynfeoptɑ̃veʃ]
éèlètèévnanlasnanovannaichèélèijoRvéir	[eɛlɛtɛevnanlasnanovɑ̃naiʃɛelɛiʒoʁveiχ]
ustéfpuch	[ystefpyʃ]
olal	[olal]
amvèochèininjitèaRévnunvèochluvnaflèslèltaètovumvusén	[amvɛoʃɛininʒitɛaʁevnynvɛoʃlyvnaflɛslɛltaɛtovymvysen]
èoRèvaèmèvbis	[ɛoʁɛvaɛmɛvbis]
tsovnolnèn	[tsovnolnɛn]
èisnabninuniouknajnèbèsrèn	[ɛisnabninyniuknaʒnɛbɛsχɛn]
romvéèRlèik	[χomveɛʁlɛik]
ugnanloRèlvoutiarèl	[ygnanloʁɛlvutiaχɛl]
adRotlagdaèl	[adʁotlagdaɛl]
èékuginRumusianchov	[ɛekyginʁymysiɑ̃ʃov]
tlèRèouRazovalvachsaèkur	[tlɛʁɛuʁazovalvaʃsaɛkyχ]
anlnodaèf	[ɑ̃lnodaɛf]
anèokolèmnid	[anɛokolɛmnid]
dRus	[dʁys]
znétannlalvènèchkulavRièlinoRaénvaèv	[znetɑ̃nlalvɛnɛʃkylavʁiɛlinoʁaenvaɛv]
anRos	[ɑ̃ʁos]
éèn	[eɛn]
étéotès	[eteotɛs]
agénèRnaRgurud	[agenɛʁnaʁgyχyd]
chan	[ʃan]
èfpodlamunlènon	[ɛfpodlamynlɛnon]
itanzonvilènsivzèmpaRvorul	[itanzonvilɛnsivzɛmpaʁvoχyl]
lvusoglandRujèozolésrajèsoniatlotol	[lvysoglɑ̃dʁyʒɛozolesχaʒɛsoniatlotol]
ozRair	[ozʁaiχ]
Rman	[ʁman]
on	[on]
èvlovlinaèRnuv	[ɛvlovlinaɛʁnyv]
snal	[snal]
anisnènasèlvuRuvmovaésolugvot	[ɑ̃isnɛnasɛlvyʁyvmovaesolygvot]
èraivén	[ɛχaiven]
chuslait	[ʃyslait]
ulruvogèl	[ylχyvogɛl]
kudonomtaéf	[kydonomtaef]
ravaichlèr	[χavaiʃlɛχ]
vèas	[vɛas]
vèazidagavap	[vɛazidagavap]
rkèvinuj	[χkɛvinyʒ]
duRvogzumas	[dyʁvogzymas]
maègaévèav	[maɛgaevɛav]
ulnèkufatfaèd	[ylnɛkyfatfaɛd]
iuchèlaètaèlsèdludèl	[iyʃɛlaɛtaɛlsɛdlydɛl]
anlvotsèvmiRmèovnèn	[ɑ̃lvotsɛvmiʁmɛovnɛn]
zétos	[zetos]
ufkich	[yfkiʃ]
zmaslaèm	[zmaslaɛm]
chkèjavisnédèatonam	[ʃkɛʒavisnedɛatonam]
ouchonaèRèulaisèalsuR	[uʃonaɛʁɛylaisɛalsyʁ]
kialniènlès	[kialniɛnlɛs]
rèrlèonfèsènèr	[χɛχlɛonfɛsɛnɛχ]
ènon	[ɛnon]
ig	[ig]
ousavom	[usavom]
iovavioRvutotisèv	[iovavioʁvytotisɛv]
éad	[ead]
pton	[pton]
rfon	[χfon]
Rlav	[ʁlav]
lodof	[lodof]
oulèpul	[ulɛpyl]
zukum	[zykym]
ouRut	[uʁyt]
ét	[et]
mlosnèknozaisnosusnèoslouluR	[mlosnɛknozaisnosysnɛoslulyʁ]
jèm	[ʒɛm]
inRanlrionlasnal	[inʁɑ̃lχionlasnal]
ounbotaèfnèéjapnèoulsarkèp	[unbotaɛfnɛeʒapnɛulsaχkɛp]
éf	[ef]
jilbiltés	[ʒilbiltes]
émchéuRovlantusèanvèujlolsus	[emʃeyʁovlantysɛanvɛyʒlolsys]
malèglomjéjvurtochlinRèéraèzochrun	[malɛglomʒeʒvyχtoʃlinʁɛeχaɛzoʃχyn]
guRaknièdaidmunsabnèémouRotkam	[gyʁakniɛdaidmynsabnɛemuʁotkam]
utiongudèn	[ytiongydɛn]
bnaf	[bnaf]
inonèiRil	[inonɛiʁil]
altoRlèputal	[altoʁlɛpytal]
lètsinivnaém	[lɛtsinivnaem]
baf	[baf]
onlèoRan	[onlɛoʁan]
éoulach	[eulaʃ]
bzolRut	[bzolʁyt]
udiuséch	[ydiyseʃ]
itéaziliuk	[iteaziliyk]
jolRaséètèl	[ʒolʁaseɛtɛl]
gialiongaènal	[gialiongaɛnal]
anmluRulnulogèigigduslovènignon	[ɑ̃mlyʁylnylogɛigigdyslovɛnignon]
adiabvèdaèdèRèv	[adiabvɛdaɛdɛʁɛv]
zgaènéès	[zgaɛneɛs]
chanonsioktèm	[ʃanonsioktɛm]
lolan	[lolan]
oudmègolaèRmièn	[udmɛgolaɛʁmiɛn]
lmiR	[lmiʁ]
nikés	[nikes]
jot	[ʒot]
pifsal	[pifsal]
dlut	[dlyt]
èéb	[ɛeb]
opnontuvaRduvlèochtèdzèdèulèvolRiébin	[opnontyvaʁdyvlɛoʃtɛdzɛdɛylɛvolʁiebin]
rsadièzèd	[χsadiɛzɛd]
mènoRintosulonodéuvèsaz	[mɛnoʁintosylonodeyvɛsaz]
onlékésèptavRivulévonpod	[onlekesɛptavʁivylevonpod]
kèznèch	[kɛznɛʃ]
blèanstéonèntusèédèutoR	[blɛɑ̃steonɛntysɛedɛytoʁ]
ouséplèvèlèmipèapètop	[useplɛvɛlɛmipɛapɛtop]
mèunupos	[mɛynypos]
zèozvès	[zɛozvɛs]
kitruriorèvinadanchioun	[kitχyχioχɛvinadɑ̃ʃiun]
ulal	[ylal]
maéziRanèsuRètanèl	[maeziʁɑ̃ɛsyʁɛtɑ̃ɛl]
èonolatanpolrèsèrnaènulnalnog	[ɛonolatanpolχɛsɛχnaɛnylnalnog]
èvuron	[ɛvyχon]
vènèn	[vɛnɛn]
outèunovulail	[utɛynovylail]
éol	[eol]
kadéèlaznéd	[kadeɛlazned]
vlèalmodiv	[vlɛalmodiv]
zRutèoRnichèodulnogèvnal	[zʁytɛoʁniʃɛodylnogɛvnal]
